id,name,img
1,The Killers,TheKillers.jpeg
2,Camille O'Sullivan,CamilleO'Sullivan.jpeg
3,Cyril Hahn,CyrilHahn.jpeg
4,Queens Of The Stone Age,QueensOfTheStoneAge.jpeg
5,Peter Hook and The Light,PeterHookandTheLight.jpeg
6,Christy Moore,ChristyMoore.jpeg
7,Aslan,Aslan.jpeg
8,Paddy Casey,PaddyCasey.jpeg
9,Sun Kil Moon,SunKilMoon.jpeg
10,Rhiannon Giddens,RhiannonGiddens.jpeg
11,Wolf Parade,WolfParade.jpeg
12,Destroyer,Destroyer.jpeg
13,Happy Mondays,HappyMondays.jpeg
14,Damien Dempsey,DamienDempsey.jpeg
15,Songhoy Blues,SonghoyBlues.jpeg
16,Opeth,Opeth.jpeg
17,Hoodie Allen,HoodieAllen.jpeg
18,Depeche Mode,DepecheMode.jpeg
19,Royal Blood,RoyalBlood.jpeg
20,The Eskies,TheEskies.jpeg
21,Steps,Steps.jpeg
22,Kiasmos,Kiasmos.jpeg
23,James Blunt,JamesBlunt.jpeg
24,Mac Demarco,MacDemarco.jpeg
25,Fujiya & Miyagi,Fujiya&Miyagi.jpeg
26,Zola Jesus,ZolaJesus.jpeg
27,The Cadillac Three,TheCadillacThree.jpeg
28,Morgan James,MorganJames.jpeg
29,Wolf Alice,WolfAlice.jpeg
30,Julien Baker,JulienBaker.jpeg
31,Nelly,Nelly.jpeg
32,James Arthur,JamesArthur.jpeg
33,Columbia Mills,ColumbiaMills.jpeg
34,TOPS,TOPS.jpeg
35,Imelda May,ImeldaMay.jpeg
36,Kim Churchill,KimChurchill.jpeg
37,Little Mix,LittleMix.jpeg
38,Lucy Rose,LucyRose.jpeg
39,Milky Chance,MilkyChance.jpeg
40,Blue Hawaii,BlueHawaii.jpeg
41,Bay City Rollers,BayCityRollers.jpeg
42,Shed Seven,ShedSeven.jpeg
43,Picture This,PictureThis.jpeg
44,The Strypes,TheStrypes.jpeg
45,Wild Front,WildFront.jpeg
46,Gordi,Gordi.jpeg
47,Glen Hansard,GlenHansard.jpeg
48,Bitch Falcon,BitchFalcon.jpeg
49,Brand New,BrandNew.jpeg
50,Jesca Hoop,JescaHoop.jpeg
51,Queen & Adam Lambert,Queen&AdamLambert.jpeg
52,Andre Rieu,AndreRieu.jpeg
53,Bryson Tiller,BrysonTiller.jpeg
54,Protomartyr,Protomartyr.jpeg
55,Stu Larsen,StuLarsen.jpeg
56,Josh Ritter and The Royal City Band,JoshRitterandTheRoyalCityBand.jpeg
57,Kasabian,Kasabian.jpeg
58,Bernard Fanning,BernardFanning.jpeg
59,Sam Amidon,SamAmidon.jpeg
60,Alice Cooper,AliceCooper.jpeg
61,Paul Brady,PaulBrady.jpeg
62,God Is An Astronaut,GodIsAnAstronaut.jpeg
63,The Killers,TheKillers.jpeg
64,Camille O'Sullivan,CamilleO'Sullivan.jpeg
65,Cyril Hahn,CyrilHahn.png
66,Queens Of The Stone Age,QueensOfTheStoneAge.jpeg
